   0.690000E+01   0.763515E+00   0.104439E+01   0.937193E+00   0.961966E+00
   0.700000E+01   0.760704E+00   0.104113E+01   0.933826E+00   0.961663E+00
   0.710000E+01   0.757954E+00   0.103751E+01   0.930314E+00   0.961388E+00
   0.720000E+01   0.755240E+00   0.103353E+01   0.926663E+00   0.961141E+00
   0.730000E+01   0.752571E+00   0.102920E+01   0.922881E+00   0.960918E+00
   0.740000E+01   0.749937E+00   0.102459E+01   0.918979E+00   0.960719E+00
   0.750000E+01   0.747344E+00   0.101973E+01   0.914966E+00   0.960543E+00
   0.760000E+01   0.744799E+00   0.101463E+01   0.910852E+00   0.960386E+00
   0.770000E+01   0.742293E+00   0.100930E+01   0.906651E+00   0.960249E+00
   0.779999E+01   0.739816E+00   0.100375E+01   0.902371E+00   0.960129E+00
   0.789999E+01   0.737344E+00   0.997994E+00   0.898026E+00   0.960023E+00
   0.799999E+01   0.734866E+00   0.992056E+00   0.893626E+00   0.959932E+00
   0.809999E+01   0.732365E+00   0.985972E+00   0.889183E+00   0.959852E+00
   0.820000E+01   0.729836E+00   0.979785E+00   0.884705E+00   0.959782E+00
   0.830000E+01   0.727266E+00   0.973533E+00   0.880203E+00   0.959721E+00
   0.840000E+01   0.724655E+00   0.967241E+00   0.875685E+00   0.959668E+00
   0.850000E+01   0.721987E+00   0.960949E+00   0.871160E+00   0.959622E+00
   0.860000E+01   0.719252E+00   0.954671E+00   0.866635E+00   0.959582E+00
   0.870000E+01   0.716436E+00   0.948423E+00   0.862115E+00   0.959549E+00
   0.880000E+01   0.713527E+00   0.942224E+00   0.857608E+00   0.959522E+00
   0.890000E+01   0.710505E+00   0.936105E+00   0.853118E+00   0.959500E+00
   0.900000E+01   0.707375E+00   0.930082E+00   0.848651E+00   0.959485E+00
   0.910000E+01   0.704123E+00   0.924181E+00   0.844209E+00   0.959475E+00
   0.920000E+01   0.700748E+00   0.918429E+00   0.839796E+00   0.959473E+00
   0.930000E+01   0.697241E+00   0.912847E+00   0.835416E+00   0.959478E+00
   0.940000E+01   0.693600E+00   0.907452E+00   0.831072E+00   0.959491E+00
   0.950000E+01   0.689835E+00   0.902249E+00   0.826767E+00   0.959513E+00
   0.960000E+01   0.685946E+00   0.897243E+00   0.822503E+00   0.959543E+00
   0.970000E+01   0.681938E+00   0.892438E+00   0.818284E+00   0.959581E+00
   0.980000E+01   0.677821E+00   0.887832E+00   0.814112E+00   0.959630E+00
   0.990000E+01   0.673602E+00   0.883425E+00   0.809991E+00   0.959688E+00
   0.100000E+02   0.669293E+00   0.879216E+00   0.805923E+00   0.959756E+00
   0.101000E+02   0.664907E+00   0.875200E+00   0.801913E+00   0.959833E+00
   0.102000E+02   0.660464E+00   0.871366E+00   0.797962E+00   0.959919E+00
   0.103000E+02   0.655974E+00   0.867709E+00   0.794078E+00   0.960013E+00
   0.104000E+02   0.651451E+00   0.864216E+00   0.790263E+00   0.960114E+00
   0.105000E+02   0.646908E+00   0.860877E+00   0.786523E+00   0.960221E+00
   0.106000E+02   0.642368E+00   0.857677E+00   0.782863E+00   0.960332E+00
