   0.100000E+01  -0.580493E-15   0.580476E-15  -0.608456E-11   0.608477E-11
   0.200000E+01  -0.399755E-02   0.399755E-02  -0.363472E-02   0.363474E-02
   0.300000E+01  -0.477113E-02   0.477113E-02  -0.394644E-02   0.394646E-02
   0.400000E+01  -0.305101E-01   0.305106E-01  -0.138397E-01   0.138403E-01
   0.500000E+01  -0.353731E-01   0.353736E-01  -0.145393E-01   0.145398E-01
   0.600000E+01  -0.733082E-01   0.733095E-01  -0.866185E-02   0.866214E-02
   0.700000E+01  -0.803116E-01   0.803128E-01  -0.790299E-02   0.790322E-02
   0.800000E+01  -0.103310E+00   0.103311E+00   0.549419E-02  -0.549446E-02
   0.900000E+01  -0.108396E+00   0.108398E+00   0.793062E-02  -0.793100E-02
   0.100000E+02  -0.111640E+00   0.111641E+00   0.202262E-01  -0.202269E-01
   0.110000E+02  -0.112110E+00   0.112110E+00   0.233923E-01  -0.233931E-01
   0.120000E+02  -0.110319E+00   0.110318E+00   0.296267E-01  -0.296277E-01
   0.130000E+02  -0.109345E+00   0.109345E+00   0.313237E-01  -0.313248E-01
   0.140000E+02  -0.106436E+00   0.106435E+00   0.312336E-01  -0.312346E-01
   0.150000E+02  -0.105074E+00   0.105074E+00   0.305768E-01  -0.305778E-01
   0.160000E+02  -0.100086E+00   0.100085E+00   0.251522E-01  -0.251532E-01
   0.170000E+02  -0.979950E-01   0.979942E-01   0.223916E-01  -0.223925E-01
   0.180000E+02  -0.897928E-01   0.897919E-01   0.138065E-01  -0.138073E-01
   0.190000E+02  -0.869455E-01   0.869446E-01   0.101404E-01  -0.101411E-01
   0.200000E+02  -0.765505E-01   0.765499E-01   0.106702E-02  -0.106758E-02
   0.210000E+02  -0.734627E-01   0.734621E-01  -0.220553E-02   0.220506E-02
   0.220000E+02  -0.688075E-01   0.688075E-01  -0.756439E-02   0.756442E-02
   0.230000E+02  -0.674069E-01   0.674071E-01  -0.901276E-02   0.901296E-02
   0.240000E+02  -0.607008E-01   0.607015E-01  -0.136367E-01   0.136373E-01
   0.250000E+02  -0.590569E-01   0.590576E-01  -0.149549E-01   0.149556E-01
   0.260000E+02  -0.547678E-01   0.547689E-01  -0.192291E-01   0.192301E-01
   0.270000E+02  -0.537878E-01   0.537890E-01  -0.202876E-01   0.202886E-01
   0.280000E+02  -0.517666E-01   0.517678E-01  -0.227789E-01   0.227799E-01
   0.290000E+02  -0.513009E-01   0.513022E-01  -0.232109E-01   0.232119E-01
